question,retrieved_source,expected_source,context_relevant,answer,grounded,correct
What is the charging time for Samsung Jet Stick 60 battery?,"Bespoke AI All-in-One Vented Combo.pdf p.334, Front Load Washer.pdf p.206",Jet Stick 60 Pet.pdf p.20,True,I could not find this in the provided documents.,refused,NO
How long does the battery last in MAX mode on Jet 60?,"Bespoke AI 4-Door French Door.pdf p.54, Jet Stick 60 Pet.pdf p.16",Jet Stick 60 Pet.pdf p.16,True,I could not find this in the provided documents.,refused,NO
How to clean the Micro Filter in Jet 60 vacuum?,"Bespoke AI All-in-One Vented Combo.pdf p.83, Front Load Washer.pdf p.46",Jet Stick 60 Pet.pdf p.10,True,"To clean the washable micro filter in the Jet Stick 60 Pet vacuum, remove the dust from the filter frequently and clean ",grounded,YES
What is the function of the Mini Motorized Tool?,"Bespoke AI All-in-One Vented Combo.pdf p.184, Bespoke AI All-in-One Vented Combo.pdf p.194",Jet Stick 60 Pet.pdf,True,The Mini Motorized Tool is used to clean bedding. [1],grounded,YES
How to pair the Samsung Smart Remote manually?,"Full HD Portable Projector.pdf p.23, Full HD Portable Projector.pdf p.71",Movingstyle Essential Smart Monitor.pdf,True,"To manually pair the Samsung Smart Remote, point it at the front of the TV, Product, or Projector, and then press and ho",grounded,YES
What cable is recommended for LAN connection on Samsung Smart Monitor?,"Full HD Portable Projector.pdf p.18, Full HD Portable Projector.pdf p.19",Movingstyle Essential Smart Monitor.pdf p.17,True,I could not find this in the provided documents.,refused,NO
What is Tap View feature on Samsung Smart Monitor?,"Full HD Portable Projector.pdf p.134, Full HD Portable Projector.pdf p.14",Movingstyle Essential Smart Monitor.pdf p.13,True,"Tap View is a Screen/Sound Mirroring feature that allows users to watch the mobile device's screen, Multi View, or Music",grounded,YES
How to clear remaining dust before cleaning vacuum accessories?,"Front Load Washer.pdf p.49, Jet Stick 60 Pet.pdf p.1",Jet Stick 60 Pet.pdf p.10,True,"Before disassembling the accessories, operate the vacuum cleaner in MAX mode for more than 10 seconds to clean the acces",grounded,YES
Who won the 2022 FIFA World Cup?,"Bespoke AI All-in-One Vented Combo.pdf p.226, Bespoke AI All-in-One Vented Combo.pdf p.227",-,n/a,I could not find this in the provided documents.,grounded,YES
What is the price of this monitor in Egypt?,"Bespoke AI All-in-One Vented Combo.pdf p.220, Bespoke AI All-in-One Vented Combo.pdf p.288",-,n/a,I could not find this in the provided documents.,grounded,YES
